ts,pair,long_venue,long_symbol,long_bid,long_ask,short_venue,short_symbol,short_bid,short_ask,entry_edge_bps,position_qty,long_avg_entry,short_avg_entry
2026-05-07T15:59:59.500788Z,COIN_ext_vs_grvt,extended,COIN_24_5-USD,193.85000000,194.10000000,grvt,COIN_USDT_Perp,194.28000000,194.36000000,-3.2264,0.00000000,0.00000000,0.00000000
2026-05-07T15:59:59.500788Z,COIN_grvt_vs_ext,grvt,COIN_USDT_Perp,194.28000000,194.36000000,extended,COIN_24_5-USD,193.85000000,194.10000000,-38.7400,0.00000000,0.00000000,0.00000000
2026-05-07T15:59:59.500788Z,PLTR_ext_vs_grvt,extended,PLTR_24_5-USD,138.89000000,139.02000000,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,2.6057,0.00000000,0.00000000,0.00000000
2026-05-07T15:59:59.500788Z,PLTR_grvt_vs_ext,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,extended,PLTR_24_5-USD,138.89000000,139.02000000,-43.3642,0.00000000,0.00000000,0.00000000
2026-05-07T15:59:59.500788Z,MSTR_ext_vs_grvt,extended,MSTR_24_5-USD,178.68000000,178.80000000,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,41.1913,0.00000000,0.00000000,0.00000000
2026-05-07T15:59:59.500788Z,MSTR_grvt_vs_ext,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,extended,MSTR_24_5-USD,178.68000000,178.80000000,-78.6589,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,425.31000000,425.61000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-9.2106,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,425.31000000,425.61000000,-28.2284,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,AAPL_ext_vs_grvt,extended,AAPL_24_5-USD,288.94000000,289.36000000,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,-10.4265,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,AAPL_grvt_vs_ext,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,extended,AAPL_24_5-USD,288.94000000,289.36000000,-29.4298,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,NVDA_ext_vs_grvt,extended,NVDA_24_5-USD,212.40000000,212.87000000,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,-8.2721,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,NVDA_grvt_vs_ext,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,extended,NVDA_24_5-USD,212.40000000,212.87000000,-39.2643,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,AMZN_ext_vs_grvt,extended,AMZN_24_5-USD,273.52000000,273.67000000,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,-5.5573,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,AMZN_grvt_vs_ext,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,extended,AMZN_24_5-USD,273.52000000,273.67000000,-29.2895,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,TSLA_ext_vs_grvt,extended,TSLA_24_5-USD,408.01000000,408.62000000,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,5.1203,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,TSLA_grvt_vs_ext,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,extended,TSLA_24_5-USD,408.01000000,408.62000000,-45.2348,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,META_ext_vs_grvt,extended,META_24_5-USD,622.42000000,623.53000000,grvt,META_USDT_Perp,623.41000000,623.42000000,-14.4245,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,META_grvt_vs_ext,grvt,META_USDT_Perp,623.41000000,623.42000000,extended,META_24_5-USD,622.42000000,623.53000000,-28.5406,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,COIN_ext_vs_grvt,extended,COIN_24_5-USD,193.80000000,194.11000000,grvt,COIN_USDT_Perp,194.28000000,194.36000000,-3.7421,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,COIN_grvt_vs_ext,grvt,COIN_USDT_Perp,194.28000000,194.36000000,extended,COIN_24_5-USD,193.80000000,194.11000000,-41.3125,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,PLTR_ext_vs_grvt,extended,PLTR_24_5-USD,138.96000000,139.08000000,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,-1.7148,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,PLTR_grvt_vs_ext,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,extended,PLTR_24_5-USD,138.96000000,139.08000000,-38.3398,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:04.508082Z,MSTR_ext_vs_grvt,extended,MSTR_24_5-USD,178.59000000,178.80000000,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,41.1913,0.00000000,0.00000000,0.00000000
